record_id,Inspector_id,inspector_name,municipality_id,municipality_name,source_of_pollution,latitude,longitude,record_created_at,record_assigned_at,In_progress_created_at,record_closed_at,record_status,resolution_type,level_of_pollution,type,value
1,1,John Doe,5,Kapishtec,factory,41.971749502488514,21.48501907734867,2023-09-18 22:10:19,2023-10-24 13:06:22,,,pending,,Low,pm10,10.0
2,3,Charlie Johnson,1,Karposh,factory,41.998100499274685,21.41140388125984,2023-10-25 09:42:39,2023-10-28 08:47:33,,,pending,,Low,pm10,11.0
3,2,Alice Doe,2,Aerodrom,factory,41.9926438301237,21.45119735944935,2023-10-20 14:23:44,2023-10-22 05:26:20,,,pending,,Low,pm10,10.0
4,3,Charlie Johnson,1,Karposh,household,42.0096497724184,21.40812165662415,2023-10-20 17:19:39,2023-10-24 15:25:39,2023-10-27 02:35:42,2023-10-27 23:30:21,completed,warning,Low,pm10,12.0
5,2,Alice Doe,5,Kapishtec,factory,41.97805610781186,21.48821704251081,2023-08-26 20:48:18,2023-10-04 17:05:38,2023-10-14 15:55:11,,in_progress,,Low,pm10,11.0
6,1,John Doe,5,Kapishtec,other,41.981593031317615,21.49497582672452,2023-08-05 11:22:10,2023-09-19 06:12:38,2023-10-27 15:41:45,2023-10-27 20:19:31,completed,other,Low,pm10,13.0
7,2,Alice Doe,5,Kapishtec,household,41.97037032699004,21.49335326630089,2023-08-29 05:48:55,2023-09-16 02:53:19,2023-10-18 03:10:30,,in_progress,,Medium,pm10,32.0
8,5,Michael Moore,3,Centar,household,41.993034631327575,21.432371841870303,2023-08-14 22:19:51,2023-08-29 16:42:54,2023-10-21 06:11:18,,in_progress,,Low,pm10,11.0
9,3,Charlie Johnson,2,Aerodrom,factory,41.99998105589099,21.457294417036028,2023-08-05 03:43:50,2023-10-18 00:38:57,2023-10-19 08:10:26,2023-10-23 02:43:14,completed,fine,Low,pm10,32.0
10,1,John Doe,3,Centar,household,41.9942241061564,21.433648374469303,2023-08-09 05:26:46,2023-09-27 15:46:32,2023-10-08 17:41:11,2023-10-09 04:28:11,completed,other,Low,pm10,12.0
11,4,Bob Williams,2,Aerodrom,factory,41.99264382719752,21.45373018772009,2023-09-10 05:03:26,2023-10-28 09:16:11,2023-10-28 19:53:24,2023-10-28 20:24:12,completed,declined,Low,pm10,25.0
12,1,John Doe,1,Karposh,factory,41.99978972967158,21.4010535722588,2023-09-17 10:41:41,2023-09-21 22:02:32,2023-10-26 07:06:55,2023-10-28 20:56:35,completed,warning,Low,pm10,14.0
13,2,Alice Doe,1,Karposh,factory,41.9980536105351,21.40310589337893,2023-10-13 23:33:14,2023-10-22 21:27:10,,,pending,,Low,pm10,11.0
14,2,Alice Doe,4,Gjorche,other,42.0047023204704,21.393146739850284,2023-10-19 14:55:09,2023-10-24 02:16:17,2023-10-26 01:16:47,,in_progress,,Low,pm10,14.0
15,5,Michael Moore,2,Aerodrom,other,41.99372148315012,21.45773032414782,2023-09-29 04:21:00,2023-10-09 15:04:14,,,pending,,Low,pm10,11.0
16,1,John Doe,1,Karposh,other,42.000737912682,21.407804487912653,2023-08-28 11:28:47,2023-10-03 02:16:09,2023-10-06 19:20:44,2023-10-24 06:30:48,completed,warning,Low,pm10,10.0
17,2,Alice Doe,5,Kapishtec,other,41.97165901477859,21.485005367562337,2023-09-21 19:37:07,2023-10-28 17:54:27,2023-10-28 19:14:40,2023-10-28 20:44:02,completed,declined,Low,pm10,12.0
18,1,John Doe,1,Karposh,other,42.004112834853366,21.413194213063345,2023-10-25 21:37:07,2023-10-28 15:13:33,,,pending,,Low,pm10,6.0
19,3,Charlie Johnson,1,Karposh,other,42.00172214804626,21.40216102884136,2023-08-11 23:29:01,2023-08-24 06:20:20,,,pending,,Low,pm10,21.0
20,2,Alice Doe,1,Karposh,household,41.999408111970325,21.410287790483935,2023-08-01 10:58:18,2023-08-04 03:51:49,2023-10-07 16:14:40,2023-10-22 16:08:15,completed,fine,Low,pm10,12.0
21,5,Michael Moore,2,Aerodrom,other,41.992237559467824,21.449062363278426,2023-09-30 02:21:03,2023-10-03 04:28:29,2023-10-13 08:40:51,2023-10-21 01:38:21,completed,other,Low,pm10,9.0
22,5,Michael Moore,5,Kapishtec,other,41.97726185606023,21.4938342536942,2023-09-22 10:36:55,2023-09-23 16:12:25,2023-09-25 02:29:01,,in_progress,,Low,pm10,12.0
23,5,Michael Moore,3,Centar,other,41.98113819993105,21.431973346331105,2023-10-18 19:51:24,2023-10-26 21:41:18,,,pending,,Low,pm10,9.0
